ticker,signal_date,arm,window_id,node_etf,sector,pit_member,fwd_ret_5,fwd_ret_10,fwd_ret_21,fwd_mdd_5,fwd_mdd_10,fwd_mdd_21,fwd_mfe_5,fwd_mfe_10,fwd_mfe_21,state_8_21,window_start,entry_price,fill_date
AAPL,2022-10-07,IN,24.0,XLK,Information Technology,True,0.0141717704030766,0.0643070787637087,-0.0065517732516734,-0.0148127047429139,-0.0148127047429139,-0.0148127047429139,0.0183022361486968,0.0643070787637087,0.1091012676256946,CLEAN_LIFTOFF,,,
AAPL,2022-10-10,IN,24.0,XLK,Information Technology,True,0.0343214851057707,0.0961289394157434,-0.0295726003741544,-0.0046049791336881,-0.0046049791336881,-0.0295726003741544,0.0343214851057707,0.0961289394157434,0.1205928910634626,CLEAN_LIFTOFF,,,
AAPL,2022-10-11,IN,24.0,XLK,Information Technology,True,0.0399016914847478,0.0795865259505566,0.0616596790516119,0.0,0.0,-0.0250831285239265,0.0399016914847478,0.1011999421714615,0.1257770709845309,CLEAN_LIFTOFF,,,
AAPL,2022-10-12,IN,24.0,XLK,Information Technology,True,0.0027973984194697,0.0126582278481013,0.0469263584866073,-0.0322400167843905,-0.0322400167843905,-0.0567871879152388,0.006084341562347,0.0653891880551087,0.0891670746206028,CLEAN_LIFTOFF,,,
AAPL,2022-10-13,IN,24.0,XLK,Information Technology,True,0.0642433877727997,0.1254516548634197,0.0715421303656598,0.0,0.0,-0.0253649371296429,0.0642433877727997,0.1254516548634197,0.1254516548634197,CLEAN_LIFTOFF,,,
AAPL,2022-10-14,IN,24.0,XLK,Information Technology,True,0.0494347307071132,0.0767502282143108,0.0535776981953515,0.0,0.0,-0.0529457201039252,0.0494347307071132,0.0936029773190085,0.0936029773190085,CLEAN_LIFTOFF,,,
AAPL,2022-10-17,IN,24.0,XLK,Information Technology,True,0.0597565217391304,0.048,0.0350608695652172,-0.0025043478260871,-0.0025043478260871,-0.0617739130434782,0.0597565217391304,0.083408695652174,0.083408695652174,CLEAN_LIFTOFF,,,
AAPL,2022-10-18,IN,24.0,XLK,Information Technology,True,0.0381621020436533,0.0081329069929096,0.0476852495481716,-0.0032670652022801,-0.0032670652022801,-0.0624913109968024,0.0589461976922007,0.0825802863895452,0.0825802863895452,CLEAN_LIFTOFF,,,
AAPL,2022-10-19,IN,24.0,XLK,Information Technology,True,0.0098333217100217,-0.0314526814980123,0.0550944975242346,0.0,-0.0314526814980123,-0.0594183694818326,0.0624171839040381,0.0861287398005441,0.0861287398005441,CLEAN_LIFTOFF,,,
AAPL,2022-10-20,IN,24.0,XLK,Information Technology,True,0.0575134107421742,-0.0603653154070755,0.0050247844095876,-0.0167719155292999,-0.0603653154070755,-0.0841990901066069,0.0575134107421742,0.0575134107421742,0.0575134107421742,STOPPED,,,
AAPL,2022-10-21,IN,24.0,XLK,Information Technology,True,0.0260287721646037,-0.0704583472733355,0.0048845767815324,-0.0311140849782534,-0.0740715958514552,-0.0975577116092337,0.0420876547340249,0.0420876547340249,0.0420876547340249,STOPPED,,,
AAPL,2022-10-24,IN,24.0,XLK,Information Technology,True,-0.0110936064067217,-0.0842851516345017,-0.0083366154654064,-0.0494945516607587,-0.0916371274780097,-0.1146776946304318,0.0223184980963633,0.0223184980963633,0.0223184980963633,STOPPED,,,
AAPL,2022-10-25,IN,24.0,XLK,Information Technology,True,-0.0289253431536657,-0.0969534650150651,-0.0083026447941076,-0.030465349849347,-0.0969534650150651,-0.0969534650150651,0.0427854034147976,0.0427854034147976,0.0427854034147976,STOPPED,,,
AAPL,2022-10-26,IN,24.0,XLK,Information Technology,True,-0.0408839779005526,0.0142955801104971,-0.0040055248618785,-0.0408839779005526,-0.0685773480662983,-0.0685773480662983,0.0755524861878453,0.0755524861878453,0.0755524861878453,STOPPED,,,
AAPL,2022-10-27,IN,24.0,XLK,Information Technology,True,-0.1114678310003853,-0.0387825863618853,-0.0935533581610377,-0.1114678310003853,-0.1340053936047258,-0.1340053936047258,0.0,0.0,0.0,STOPPED,,,
