quarter_end,SPY,QQQ,RSP,IWM,SMH,HYG,TLT,_VIX,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLRE,XLC,DEF,CYCLICAL
2012-12-31,-0.003819844786421611,-0.04487740470460244,0.027178755933361387,0.019299598495324588,0.04398670404836791,0.02765242809503876,-0.01834695170095968,0.14558175347548508,0.029126805137470235,-0.022416962347111546,0.05790338863582667,0.04511431350580475,-0.05883961175168051,-0.015027194228775631,-0.02956506000215431,-0.0006132636782245626,0.020394802131362688,,,-0.014726044818460626,0.027442443227340574
2013-03-31,0.10502640279882192,0.061409884671849824,0.12232827149882852,0.12304940902259198,0.09897934905103734,0.02162222222783816,-0.0239720589698712,-0.2952275534602712,0.04798538846233669,0.11544956142911,0.11478895290895874,0.10662920106063734,0.05351023448751935,0.1451714874788783,0.1294271622608334,0.15719276797711101,0.12054441749222966,,,0.14407988493390178,0.09615546132886998
2013-06-30,0.02935347864043769,0.03661629088492879,0.0314135959286268,0.027215735956299003,0.06079374081696631,-0.021977208283543215,-0.055858103545443405,0.32755912311522595,-0.01369033971880651,-0.008003194021288351,0.07239981781219385,0.02629000596554598,0.01567474515467615,0.003996387704632287,-0.027696575607717433,0.04081744894740602,0.06756076933232813,,,0.005810733924542566,0.01909376807288332
2013-09-30,0.0524186006065801,0.11010104301469381,0.06760682448688615,0.1068257836366946,0.058105512781581936,0.023390119276278876,-0.02939640366430496,-0.01542112808241558,0.10092375707883017,0.06378786711270656,0.027687425127549625,0.09342819275019121,0.052470526819315744,0.009622330650782551,0.00260294273525985,0.06697471195924898,0.07815479771122313,,,0.026505969417193187,0.07146535777174257
2013-12-31,0.10524741935770354,0.11865356033098795,0.09670294565596849,0.086240931695579,0.08088117665153094,0.034222449049365,-0.03156569336385184,-0.17349397881073603,0.10714136814862663,0.07251569873157582,0.10310394522517852,0.13178544211241783,0.12097969675814335,0.08810867738198325,0.02693268631381085,0.10038196821736145,0.10667609743223117,,,0.0717739728427853,0.10376123827109374
2014-03-31,0.017030431638789922,0.003129476974465417,0.028381008878731295,0.011099282501005447,0.07494694121605927,0.02632374885423805,0.07642141091546173,0.0116617962316381,0.027019512123085176,0.011162752530502251,0.02574496384029379,0.005702072901181854,0.021443358384191535,0.006950031884201735,0.10101291959780268,0.058663921252216644,-0.028525081162018795,,,0.055414991144960846,0.01777621915901162
2014-06-30,0.051590091942074645,0.0740542314132917,0.054812926412421525,0.02123103023854056,0.08506923654292686,0.022537983713249332,0.04842464565514071,-0.16642654182785976,0.05483138963305989,0.12917994838690094,0.021933635875761137,0.037773077797224275,0.059884769300571294,0.04333361182659101,0.0766635199905763,0.04391321038455076,0.034507177184510684,,,0.055300362268397185,0.060476556407126125
2014-09-30,0.011348031828850358,0.0544671064075295,-0.008586811631019375,-0.07355130655942788,0.03232974024603208,-0.020900701912184072,0.03192493103732841,0.40968019845658077,0.0036257069310621226,-0.09004724125459074,0.023120635560533342,-0.012195100686869131,0.044894734049921725,0.017384558431935426,-0.04045710315582862,0.05437797303917691,0.002593474135340168,,,0.010428385100428095,-0.019427742086437716
2014-12-31,0.04900187000678757,0.049040456910268704,0.0606389895293975,0.09799515025758287,0.08149852804441338,-0.00834855113787003,0.09311797973119451,0.17719199212923376,-0.014191497267526332,-0.12103545669404148,0.07278100810280175,0.07051220382311318,0.041731913732632187,0.08265814942121197,0.13188153944028547,0.07390217619859984,0.08635623314102836,,,0.09679969806172162,0.00024016800509851777
2015-03-31,0.008813314518925974,0.025113008498065525,0.016549084787559565,0.04288278525789768,0.012449664245537395,0.019742061886666384,0.04200656029788008,-0.203645866964425,0.007914198584797472,-0.013300775639184192,-0.021431550731382476,-0.009786998174877826,0.006278800115161021,0.011311234631520728,-0.05167628675862568,0.06321750383583535,0.04785974897302814,,,0.007388669227902156,-0.008300894852866225
