horizon_sessions,asset,n,mean_forward_return,median_forward_return,positive_rate,mean_excess_spy,median_excess_spy,excess_hit_rate,worst_forward_return,definition
21,SPY,24,0.0071701377026705815,0.0017360316680640198,0.5833333333333334,0.0,0.0,0.0,-0.0631018574815494,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
21,XLE,24,-0.006100964557982776,0.007358983888494097,0.5416666666666666,-0.013271102260653358,-0.015336967896369402,0.4166666666666667,-0.13866876090548785,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
21,XLF,24,0.0022915322375221306,0.006896138100542015,0.5833333333333334,-0.004878605465148451,-0.002144690206762445,0.4166666666666667,-0.12061838919403789,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
21,XLK,24,0.01640871471433389,0.010082285844175809,0.6666666666666666,0.009238577011663307,0.00681281174639492,0.5833333333333334,-0.04210764236706421,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
21,XLP,24,0.009940303475982163,0.005943706483335531,0.5833333333333334,0.0027701657733115817,0.00043491980984700085,0.5,-0.03255673085335087,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
21,XLV,24,0.013031092272129868,0.013540166340145654,0.6666666666666666,0.005860954569459287,0.0025759118808778014,0.5416666666666666,-0.048720293020072636,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
63,SPY,23,0.01862762295942074,0.021842595475462412,0.6956521739130435,0.0,0.0,0.0,-0.07128039293333843,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
63,XLE,23,0.013455696643167538,0.002430056362839217,0.5652173913043478,-0.005171926316253203,-0.007940385338964795,0.4782608695652174,-0.16934234792648584,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
63,XLF,23,0.021678093309776894,0.007965476137925531,0.5652173913043478,0.003050470350356153,0.0008282239367212174,0.5217391304347826,-0.15161353645469744,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
63,XLK,23,0.018401701296125283,0.021357653862798642,0.6521739130434783,-0.0002259216632954581,0.006396461079926197,0.6086956521739131,-0.11731194278529189,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
63,XLP,23,0.02803348749613321,0.020891532789418132,0.7391304347826086,0.009405864536712468,0.006994620019386888,0.5652173913043478,-0.05458726684089965,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
63,XLV,23,0.03075832315103678,0.036930612171084176,0.7391304347826086,0.012130700191616038,0.02090364455930871,0.6086956521739131,-0.10074083346115315,"WTI 21-session return >=10%, real 10y +15bp or more, SPY above 200d; 63-session de-overlap; enter next session after signal; descriptive analogue, no causal claim"
